description,subject,grade,claim,min,max,target,dok,dok>=,passage,short_answer,stim,weight
Reading,ela,3,1,14,16,,,,,,item,1
Literary,ela,3,1,7,8,"""5,3,7,2,6,4,1""",,,,,item,1
Informational,ela,3,1,7,8,"""8,12,13,11,14,10,9""",,,,,item,1
,ela,3,1,7,,,2,,,,item,1
,ela,3,1,2,,,,3,,,item,1
,ela,3,1,1,2,2,,,,,item,1
,ela,3,1,1,2,4,,,,,item,1
,ela,3,1,3,6,"""3,7,5,1,6""",,,,,item,1
,ela,3,1,1,2,9,,,,,item,1
,ela,3,1,1,2,11,,,,,item,1
,ela,3,1,3,6,"""8,12,14,13,10""",,,,,item,1
Lit Long passage,ela,3,1,1,,"""5,3,7,2,6,4,1""",,,Long,,stim,1
Lit Short passage,ela,3,1,0,2,"""5,3,7,2,6,4,1""",,,Short,,stim,1
Info Long passage,ela,3,1,1,,"""8,12,13,11,14,10,9""",,,Long,,stim,1
Info Short passage,ela,3,1,0,2,"""8,12,13,11,14,10,9""",,,Short,,stim,1
0-1 short text,ela,3,1,0,1,"""4,2""",,,,1,item,1
0-1 short text,ela,3,1,0,0,"""3,7,5,1,6""",,,,1,item,1
0-1 short text,ela,3,1,6,8,"""5,3,7,2,6,4,1""",,,,0,item,1
0-1 short text,ela,3,1,0,1,"""11,9""",,,,1,item,1
0-1 short text,ela,3,1,0,0,"""8,12,14,13,10""",,,,1,item,1
0-1 short text,ela,3,1,6,8,"""8,12,13,11,14,10,9""",,,,0,item,1
Writing,ela,3,2,10,10,,,,,,item,1
,ela,3,2,4,,,2,,,,item,1
,ela,3,2,1,,,,3,,,item,1
At least one O/P item,ela,3,2,1,2,"""1aO,1bO,3bO,6bO,3aO,6aO""",,,,,item,1
At least one E/E item,ela,3,2,1,2,"""6aE,1bE,3bE,3aE,6bE,1aE""",,,,,item,1
Exactly 3 O/P and E/E items,ela,3,2,3,3,"""6aE,1aO,1bO,3bO,1bE,3bE,3aE,6bO,3aO,6bE,1aE,6aO""",,,,,item,1
Exactly 1 Write Brief text,ela,3,2,1,1,"""6aE,1aO,3aE,3aO,1aE,6aO""",,,,,item,1
Only 2 revise brief allowed,ela,3,2,2,2,"""1bO,3bO,1bE,3bE,6bO,6bE""",,,,,item,1
0-1 short text,ela,3,2,0,1,"""6aO,1aO,3aO""",,,,1,item,1
0-2 machine scored,ela,3,2,0,2,"""3bO,1bO,6bO""",,,,0,item,1
0-1 short text,ela,3,2,0,1,"""6aE,1aE,3aE""",,,,1,item,1
0-2 machine scored,ela,3,2,0,2,"""6bE,1bE,3bE""",,,,0,item,1
,ela,3,2,2,2,8,,,,,item,1
,ela,3,2,5,5,9,,,,,item,1
Speaking/Listening,ela,3,3,8,9,,,,,,item,1
,ela,3,3,3,,,,2,,,item,1
,ela,3,3,8,9,4,,,,,item,1
,ela,3,3,3,4,,,,,,stim,1
Research,ela,3,4,6,6,,,,,,item,1
,ela,3,4,6,6,,2,,,,item,1
,ela,3,4,6,6,"""3,4,2""",,,,,item,1
