"StimID","ItemID","Subject","ItemGrade","PoolGrade","Claim","Target","UseTarget","BlueprintTarget","DOK","AsmtType","ItemType","IRT_A","IRT_B","IRT_C","IRT_Step1","IRT_Step2","IRT_Step3","IRT_Step4","IRT_Step5","IRT_Step6","IRT_Step7","IRT_Step8","Braille","EnemyItem","ExtPool","ShortAnswer","FullWrite","Passage","WriteRevise","Claim2cat","StimMax","StimMin","SpaErrors"
40,"11785","ELA",6,6,1,"8","8","8",2,"CAT","mc",0.46396,0.56028,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
40,"11787","ELA",6,6,1,"9","9","9",2,"CAT","htq",0.27969,3.51892,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
40,"26269","ELA",6,6,1,"12","12","12",4,"CAT","EBSR",0.74108,3.02934,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","64665",0,0,0,"Short",NA,NA,4,3,0
41,"48523","ELA",11,11,1,"8","8","8",2,"CAT","mc",0.37523,1.12425,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
41,"11918","ELA",11,11,1,"14","14","14",3,"CAT","mc",0.40127,0.81623,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
41,"41969","ELA",11,11,1,"12","12","12",3,"CAT","EBSR",0.56781,4.38752,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","64640",0,0,0,"Short",NA,NA,4,3,0
41,"48525","ELA",11,11,1,"9","9","9",2,"CAT","EBSR",0.4414,3.67851,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
41,"41971","ELA",11,11,1,"13","13","13",3,"CAT","ms",0.36134,5.56671,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
41,"41967","ELA",11,11,1,"10","10","10",1,"CAT","ms",0.34596,4.81377,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Short",NA,NA,4,3,0
42,"26259","ELA",11,11,1,"11","11","11",3,"CAT","EBSR",0.69573,3.17884,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
42,"29663","ELA",11,11,1,"10","10","10",2,"CAT","htq",0.94394,-1.10873,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
42,"27657","ELA",11,11,1,"8","8","8",2,"CAT","htq",0.47712,1.40814,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
42,"26257","ELA",11,11,1,"11","11","11",4,"CAT","sa",0.75047,2.16966,0,0,0.54125,-0.54125,NA,NA,NA,NA,NA,"BRF","",0,1,0,"Long",NA,NA,4,3,0
42,"26255","ELA",11,11,1,"9","9","9",3,"CAT","sa",0.736,2.91708,0,0,0.97923,-0.97923,NA,NA,NA,NA,NA,"BRF","",0,1,0,"Long",NA,NA,4,3,0
42,"26253","ELA",11,11,1,"8","8","8",2,"CAT","ms",0.44677,3.9636,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
43,"49127","ELA",11,11,1,"11","11","11",3,"CAT","sa",0.70965,2.39708,0,0,0.50699,-0.50699,NA,NA,NA,NA,NA,"","",0,1,0,"Long",NA,NA,4,3,0
43,"43525","ELA",11,11,1,"11","11","11",3,"CAT","sa",0.78016,1.80292,0,0,0.44249,-0.44249,NA,NA,NA,NA,NA,"","",0,1,0,"Long",NA,NA,4,3,0
43,"43531","ELA",11,11,1,"14","14","14",3,"CAT","mc",0.37638,0.52916,0,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
43,"43518","ELA",11,11,1,"9","9","9",2,"CAT","ms",0.45483,2.24645,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
43,"58694","ELA",11,11,1,"12","12","12",4,"CAT","ms",0.53632,2.20586,0,0,NA,NA,NA,NA,NA,NA,NA,"","",0,0,0,"Long",NA,NA,4,3,0
46,"42117","ELA",11,11,1,"14","14","14",3,"CAT","mc",0.74489,-0.2282,0,NA,NA,NA,NA,NA,NA,NA,NA,"BRF","",0,0,0,"Long",NA,NA,4,3,0
