,SID,ItemID,Seq,Resp
1,1,52762,1,0
2,1,52770,2,0
3,1,52774,3,0
4,1,36865,4,0
5,1,36867,5,0
6,1,36863,6,0
7,1,58684,7,0
8,1,42377,8,0
9,1,42379,9,0
10,1,42373,10,0
11,1,42375,11,0
12,1,44162,12,0
13,1,29663,13,0
14,1,26253,14,0
15,1,27657,15,0
16,1,26257,16,0
17,1,26727,17,0
18,1,26731,18,0
19,1,27579,19,1
20,1,30139,20,0
21,1,30137,21,1
22,1,29391,22,0
23,1,29393,23,0
24,1,29395,24,0
25,1,28153,25,0
26,1,32006,26,1
27,1,44784,27,0
28,1,62893,28,0
29,1,58572,29,0
30,1,31946,30,0
31,1,33613,31,0
32,1,33341,32,0
33,1,33531,33,0
34,1,42059,34,0
35,1,59016,35,0
36,1,13174,36,0
37,1,16411,37,0
38,1,36645,38,0
39,1,20533,39,0
40,1,22508,40,0
41,1,27759,41,0
42,2,16158,1,1
43,2,23166,2,0
44,2,30794,3,1
45,2,35321,4,0
46,2,27753,5,1
47,2,32118,6,1
48,2,43525,7,1
49,2,43518,8,0
50,2,43531,9,1
51,2,58694,10,0
52,2,49037,11,1
53,2,49043,12,0
54,2,49033,13,2
55,2,49035,14,1
56,2,58669,15,0
57,2,41544,16,0
58,2,58667,17,1
59,2,41536,18,0
60,2,50289,19,1
61,2,50988,20,1
62,2,50986,21,0
63,2,50984,22,0
64,2,26737,23,0
65,2,26739,24,0
66,2,26741,25,0
67,2,26592,26,0
68,2,26590,27,1
69,2,26588,28,1
70,2,29297,29,1
71,2,29293,30,1
72,2,29295,31,1
73,2,20167,32,0
74,2,51298,33,1
75,2,44786,34,0
76,2,33531,35,1
77,2,36681,36,1
78,2,41514,37,0
79,2,58564,38,1
80,2,33593,39,0
81,2,58972,40,1
82,2,59018,41,1
83,3,22409,1,0
84,3,30859,2,0
85,3,21267,3,0
86,3,29669,4,1
87,3,15906,5,1
88,3,29267,6,0
89,3,63264,7,0
90,3,49035,8,0
91,3,63266,9,0
92,3,49043,10,0
93,3,36867,11,0
94,3,36859,12,0
95,3,36857,13,0
96,3,36863,14,0
97,3,63624,15,0
98,3,50712,16,1
99,3,50716,17,1
100,3,50718,18,0
101,3,62683,19,0
102,3,41740,20,0
103,3,41742,21,1
104,3,41750,22,0
105,3,26594,23,1
106,3,30205,24,0
107,3,26596,25,0
108,3,26671,26,0
109,3,26669,27,1
110,3,27579,28,0
111,3,30139,29,0
112,3,30137,30,0
113,3,28151,31,0
114,3,51800,32,0
115,3,61122,33,0
116,3,21886,34,0
117,3,46395,35,0
118,3,61627,36,0
119,3,33653,37,0
120,3,63166,38,0
121,3,30528,39,0
122,3,32080,40,0
123,3,33651,41,1
124,4,33623,1,0
125,4,33619,2,1
126,4,36353,3,0
127,4,32006,4,0
128,4,49841,5,1
129,4,33645,6,1
130,4,33531,7,0
131,4,58964,8,1
132,4,63738,9,0
133,4,58564,10,0
134,4,15906,11,1
135,4,22514,12,0
136,4,13064,13,0
137,4,24639,14,0
138,4,16411,15,0
139,4,27763,16,0
140,4,51077,17,0
141,4,51094,18,0
142,4,60970,19,1
143,4,42693,20,0
144,4,42691,21,0
145,4,63020,22,0
146,4,42695,23,0
