Grade,Claim,Cell,Notes,Stim,SelectStatement,Min,Max,Weight,Comment
11,1,,,item,Claim==1,15,16,1,
11,1,,Literary,item,"Claim==1&(Target==""1""|Target==""3""|Target==""5""|Target==""6""|Target==""7""|Target==""2""|Target==""4"")",4,4,1,
11,1,,Informational,item,"Claim==1&(Target==""9""|Target==""11""|Target==""8""|Target==""10""|Target==""12""|Target==""13""|Target==""14"")",11,12,1,
11,1,,,item,Claim==1&DOK==1,0,4,1,
11,1,,,item,Claim==1&DOK>=3,3,,1,
11,1,1,,item,"Claim==1&(Target==""2"")",1,1,1,
11,1,2,,item,"Claim==1&(Target==""4"")",1,1,1,
11,1,3,,item,"Claim==1&(Target==""1""|Target==""3""|Target==""5""|Target==""6""|Target==""7"")",2,2,1,
11,1,4,,item,"Claim==1&(Target==""9""|Target==""11"")",2,4,1,
11,1,5,,item,"Claim==1&(Target==""8""|Target==""10""|Target==""12""|Target==""13""|Target==""14"")",7,10,1,
11,1,,Lit Long passage,stim,"Claim==1&(Target==""1""|Target==""3""|Target==""5""|Target==""6""|Target==""7""|Target==""2""|Target==""4"")&Passage==""Long""",1,,1,
11,1,,Info Long passage,stim,"Claim==1&(Target==""9""|Target==""11""|Target==""8""|Target==""10""|Target==""12""|Target==""13""|Target==""14"")&Passage==""Long""",1,,1,
11,1,,Info Short passage,stim,"Claim==1&(Target==""9""|Target==""11""|Target==""8""|Target==""10""|Target==""12""|Target==""13""|Target==""14"")&Passage==""Short""",0,2,1,
11,1,,0-1 short text,item,"Claim==1&(Target==""2""|Target==""4"")&(ShortAnswer==""1"")",0,1,1,
11,1,,0-1 short text,item,"Claim==1&(Target==""2""|Target==""4"")&(ShortAnswer==""0"")",1,2,1,
11,1,,0-1 short text,item,"Claim==1&(Target==""1""|Target==""3""|Target==""5""|Target==""6""|Target==""7"")&(ShortAnswer==""0"")",2,2,1,
11,1,,0-1 short text,item,"Claim==1&(Target==""9""|Target==""11"")&(ShortAnswer==""1"")",0,1,1,
11,1,,0-1 short text,item,"Claim==1&(Target==""9""|Target==""11""|Target==""8""|Target==""10""|Target==""12""|Target==""13""|Target==""14"")&(ShortAnswer==""0"")",10,12,1,
11,2,,,item,Claim==2,10,10,1,
11,2,,,item,Claim==2&DOK>=2,5,,1,
11,2,,,item,Claim==2&DOK>=3,1,,1,
11,2,,At least one O/P item,item,"Claim==2&(Target==""1aO""|Target==""3aO""|Target==""6aO""|Target==""1bO""|Target==""3bO""|Target==""6bO"")",1,2,1,Max of 2 added by CFF; otherwise E/E can't be met
11,2,,At least one E/E item,item,"Claim==2&(Target==""1aE""|Target==""3aE""|Target==""6aE""|Target==""1bE""|Target==""3bE""|Target==""6bE"")",1,2,1,Max of 2 added by CFF; otherwise O/P can't be met
11,2,7,Exactly 3 O/P and E/E items,item,"Claim==2&(Target==""1aO""|Target==""3aO""|Target==""6aO""|Target==""1bO""|Target==""3bO""|Target==""6bO""|Target==""1aE""|Target==""3aE""|Target==""6aE""|Target==""1bE""|Target==""3bE""|Target==""6bE"")",3,3,1,
11,2,,Exactly 1 Write Brief text,item,"Claim==2&(Target==""1aO""|Target==""3aO""|Target==""6aO""|Target==""1aE""|Target==""3aE""|Target==""6aE"")",1,1,1,
11,2,,Only 2 revise brief allowed,item,"Claim==2&(Target==""1bO""|Target==""3bO""|Target==""6bO""|Target==""1bE""|Target==""3bE""|Target==""6bE"")",2,2,1,"Added by CFF; if there is only 1 write brief, there can only be 2 revise brief texts"
11,2,,0-1 short text,item,"Claim==2&(Target==""1aO""|Target==""3aO""|Target==""6aO"")&(ShortAnswer==""1"")",0,1,1,
11,2,,0-2 machine scored,item,"Claim==2&(Target==""1bO""|Target==""3bO""|Target==""6bO"")&(ShortAnswer==""0"")",0,2,1,
11,2,,0-1 short text,item,"Claim==2&(Target==""1aE""|Target==""3aE""|Target==""6aE"")&(ShortAnswer==""1"")",0,1,1,
11,2,,0-2 machine scored,item,"Claim==2&(Target==""1bE""|Target==""3bE""|Target==""6bE"")&(ShortAnswer==""0"")",0,2,1,Type fixed by CFF (0-2 not 2-2)
11,2,8,,item,"Claim==2&(Target==""8"")",2,2,1,
11,2,9,,item,"Claim==2&(Target==""9"")",5,5,1,
11,3,,,item,Claim==3,8,9,1,
11,3,,,item,Claim==3&DOK>=2,4,,1,
11,3,10,,item,"Claim==3&(Target==""4"")",8,9,1,
11,3,,,stim,Claim==3,3,4,1,added stimuli info from pg. 3
11,4,,,item,Claim==4,6,6,1,
11,4,,,item,Claim==4&DOK==2,6,6,1,
11,4,11,,item,"Claim==4&(Target==""2""|Target==""3""|Target==""4"")",6,6,1,
