"ItemID","Subject","ItemGrade","PoolGrade","Claim","Target","DOK","StimID","AsmtType","ItemType","Calculator","IRT_A","IRT_B","IRT_C","IRT_Step1","IRT_Step2","IRT_Step3","IRT_Step4","IRT_Step5","IRT_Step6","IRT_Step7","IRT_Step8","Braille","Translation","ExtPool","SpaErrors"
"403","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.10489,-2.30601,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"405","Math",3,3,1,"B",1,NA,"CAT","eq","No",0.19903,-0.49934,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"407","Math",3,3,1,"C",1,NA,"CAT","eq","No",1.41498,-1.87218,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"409","Math",3,3,1,"E",1,NA,"CAT","eq","No",1.16234,-0.72552,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"411","Math",3,3,1,"E",1,NA,"CAT","eq","No",1.10551,-0.35224,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"413","Math",3,3,1,"F",2,NA,"CAT","eq","No",0.57137,-1.92789,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"415","Math",3,3,1,"F",1,NA,"CAT","eq","No",0.76083,-0.95593,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"417","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.07255,-1.7344,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"419","Math",3,5,1,"E",1,NA,"CAT","eq","No",1.28617,-2.14606,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",1,0
"419","Math",3,4,1,"E",1,NA,"CAT","eq","No",1.28617,-2.14606,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",1,0
"419","Math",3,3,1,"E",1,NA,"CAT","eq","No",1.28617,-2.14606,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"421","Math",3,3,1,"E",1,NA,"CAT","eq","No",1.04723,-1.19827,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"425","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.2237,-1.58854,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"427","Math",3,3,1,"E",1,NA,"CAT","eq","No",1.28705,-0.62401,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"429","Math",3,3,1,"E",1,NA,"CAT","eq","No",0.91655,-0.33032,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"431","Math",3,3,1,"F",1,NA,"CAT","eq","No",0.46521,-1.25111,0,0,NA,NA,NA,NA,NA,NA,NA,"","spa",0,0
"926","Math",3,3,1,"B",1,NA,"CAT","eq","No",0.16442,-0.25795,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"934","Math",3,3,1,"A",1,NA,"CAT","eq","No",0.98572,-1.7808,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"938","Math",3,3,1,"A",1,NA,"CAT","eq","No",0.94071,-1.84035,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"940","Math",3,3,1,"A",1,NA,"CAT","eq","No",0.87553,-2.1087,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"942","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.13564,-1.67522,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"944","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.05654,-1.61126,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"948","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.08111,-1.84232,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"950","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.00849,-1.61933,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"952","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.28975,-2.01217,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"954","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.05758,-1.84352,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"956","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.13153,-1.48281,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"958","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.09945,-1.0834,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"960","Math",3,3,1,"A",1,NA,"CAT","eq","No",0.66709,-1.12669,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"962","Math",3,4,1,"C",1,NA,"CAT","eq","No",1.07665,-3.08209,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",1,0
"962","Math",3,3,1,"C",1,NA,"CAT","eq","No",1.07665,-3.08209,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"966","Math",3,3,1,"D",2,NA,"CAT","eq","No",1.01677,-2.35819,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"970","Math",3,3,1,"D",2,NA,"CAT","eq","No",0.89949,-1.94127,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"972","Math",3,3,1,"D",2,NA,"CAT","eq","No",0.89776,-1.73421,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"974","Math",3,3,1,"D",2,NA,"CAT","eq","No",1.07229,-2.18537,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
