SID,ItemID,Resp
S1,29399,0
S1,28019,1
S1,46074,0
S1,29401,0
S1,54950,0
S1,54942,0
S1,63829,0
S1,54944,0
S1,61499,0
S1,61503,0
S1,54562,1
S1,54566,0
S1,53906,0
S1,53908,0
S1,56517,0
S1,53912,0
S1,37521,1
S1,31147,0
S1,32544,0
S1,32540,1
S1,35917,1
S1,35915,0
S1,33892,0
S1,33890,0
S1,29981,1
S1,30706,0
S1,41642,1
S1,42045,0
S1,33475,0
S1,33443,1
S1,42449,0
S1,23387,0
S1,33449,0
S1,60359,0
S1,63329,0
S1,63340,1
S1,63459,0
S1,45437,1
S1,44923,1
S1,45451,0
S2,45244,1
S2,63508,0
S2,44933,1
S2,29951,1
S2,29941,1
S2,45360,1
S2,52584,1
S2,47909,1
S2,52582,0
S2,54922,1
S2,63841,1
S2,61204,1
S2,55060,1
S2,51948,1
S2,51850,1
S2,51574,1
S2,51844,1
S2,35871,0
S2,59221,1
S2,56195,1
S2,28107,1
S2,61094,0
S2,35923,0
S2,35919,0
S2,35921,0
S2,26885,1
S2,26883,1
S2,26311,0
S2,26315,1
S2,26313,0
S2,34044,1
S2,30708,1
S2,33441,1
S2,29981,1
S2,30710,1
S2,42477,0
S2,42045,0
S2,28089,0
S2,42461,1
S2,30578,0
S2,29999,1
S3,43754,0
S3,44935,0
S3,45437,1
S3,29939,1
S3,29951,1
S3,44925,1
S3,61007,0
S3,54073,0
S3,54065,0
S3,54069,0
S3,56285,0
S3,53980,0
S3,53988,0
S3,53982,0
S3,52518,0
S3,62613,0
S3,52516,0
S3,52512,0
S3,46465,1
S3,56279,0
S3,46463,0
S3,61024,0
S3,33683,1
S3,33681,0
S3,35917,1
S3,35915,0
S3,33892,0
S3,33890,0
S3,26883,0
S3,26885,0
S3,30730,0
S3,35712,1
S3,42045,0
S3,30005,0
S3,22789,0
S3,58458,0
S3,42449,1
S3,60361,1
S3,33443,0
S3,26407,0
S4,41648,0
S4,42461,1
S4,27783,1
S4,30730,0
S4,42045,0
S4,32048,1
S4,30001,0
S4,26821,1
S4,42463,0
S4,30722,1
S4,29811,1
S4,63504,0
S4,29951,0
S4,50486,0
S4,63444,0
S4,49998,0
S4,63827,1
S4,54950,0
S4,54948,1
S4,54946,0
S4,53988,0
S4,56285,1
S4,53980,0
S4,53984,0
S4,56195,0
S4,28107,1
S4,35871,0
S4,59221,0
S4,56305,1
S4,54024,0
S4,61537,1
S4,61541,1
S4,37415,0
S4,37417,1
S4,37419,1
S4,37925,1
S4,32570,1
S4,33890,0
S4,33892,0
S4,35933,1
S4,35935,1
S5,50002,0
S5,50573,0
S5,44933,0
S5,45475,0
S5,30081,0
S5,46042,0
S5,52823,0
S5,52821,0
S5,52831,0
S5,52817,0
S5,61148,0
S5,53896,0
S5,56400,0
S5,53898,0
S5,52676,0
S5,52670,0
S5,52668,0
S5,61533,0
S5,51707,0
S5,51919,0
S5,54908,0
S5,51705,0
S5,37587,0
S5,37591,1
S5,37079,0
S5,37699,0
S5,32570,0
S5,37925,0
S5,35941,0
S5,35945,0
S5,23387,0
S5,30706,0
S5,33391,0
S5,42459,0
S5,29993,0
S5,26815,0
S5,33475,0
S5,41652,0
S5,60405,0
S5,33449,0
S6,26885,1
S6,26883,1
S6,26897,1
S6,26893,1
S6,26895,1
S6,42527,1
S6,35885,1
S6,37559,0
S6,37417,1
S6,63506,1
S6,63459,1
S6,45453,0
S6,45475,1
S6,44310,0
S6,45455,0
S6,28091,0
S6,60636,1
S6,33413,1
S6,29993,1
S6,27723,0
S6,33391,0
S6,42045,1
S6,42465,1
S6,26395,0
S6,33479,0
S6,48204,1
S6,48210,1
S6,48200,1
S6,60976,1
S6,54010,0
S6,54584,0
S6,54014,1
S6,54012,1
S6,48144,1
S6,54916,1
S6,63796,1
S6,63799,1
S6,54428,0
S6,54422,1
S6,54430,1
S6,54424,1
S7,31978,0
S7,33377,0
S7,33375,0
S7,32540,1
S7,32544,0
S7,24990,0
S7,22758,0
S7,33902,1
S7,33906,1
S7,41642,0
S7,26819,0
S7,32066,0
S7,42461,1
S7,42045,1
S7,30708,0
S7,28089,0
S7,33393,1
S7,27783,0
S7,33401,1
S7,54528,1
S7,54526,0
S7,54522,1
S7,63764,0
S7,53872,1
S7,53864,0
S7,53862,1
S7,53870,1
S7,51574,1
S7,51854,1
S7,51948,0
S7,51844,0
S7,61024,1
S7,46463,1
S7,46465,1
S7,56279,1
S7,44935,1
S7,30081,0
S7,43756,0
S7,46403,1
S7,58101,1
S7,44927,0
S8,46303,1
S8,49998,0
S8,29955,0
S8,45459,0
S8,63449,0
S8,63321,0
S8,54528,0
S8,54522,1
S8,63762,0
S8,54526,0
S8,53174,0
S8,60553,1
S8,53178,0
S8,53180,0
S8,46463,0
S8,61024,0
S8,46465,0
S8,56279,0
S8,52510,1
S8,52522,0
S8,52516,0
S8,52512,0
S8,29989,1
S8,22760,0
S8,30708,0
S8,60547,0
S8,26819,0
S8,42461,0
S8,33479,0
S8,42449,0
S8,27805,0
S8,30740,1
S8,33892,0
S8,33890,0
S8,20519,0
S8,20523,0
S8,26897,0
S8,26895,0
S8,26893,0
S8,32544,1
S8,32540,0
S9,52582,1
S9,52584,0
S9,47909,1
S9,61024,1
S9,56279,1
S9,46465,1
S9,46463,1
S9,53812,0
S9,53806,1
S9,53808,1
S9,53804,0
S9,47003,1
S9,47011,0
S9,62633,1
S9,47001,1
S9,63796,0
S9,26637,1
S9,26639,0
S9,22756,0
S9,25070,0
S9,22754,0
S9,35921,1
S9,35919,0
S9,35923,1
S9,32546,0
S9,44937,0
S9,30081,1
S9,29951,1
S9,63352,1
S9,50000,0
S9,63508,1
S9,33385,0
S9,33391,1
S9,42045,0
S9,29993,0
S9,28089,0
S9,58467,1
S9,33401,1
S9,42459,1
S9,22855,1
S9,60549,0
S10,26895,0
S10,26897,0
S10,26893,0
S10,35917,1
S10,35915,0
S10,37561,0
S10,35891,1
