,SID,ItemID,Seq,Resp
1,1,52522,1,0
2,1,52512,2,1
3,1,52516,3,0
4,1,52518,4,0
5,1,61007,5,0
6,1,54065,6,0
7,1,61005,7,0
8,1,54069,8,0
9,1,28019,9,0
10,1,46078,10,0
11,1,29399,11,0
12,1,46076,12,0
13,1,52817,13,1
14,1,52829,14,0
15,1,52831,15,0
16,1,52823,16,0
17,1,42529,17,0
18,1,37585,18,0
19,1,35907,19,0
20,1,33902,20,0
21,1,33906,21,0
22,1,41640,22,0
23,1,41638,23,0
24,1,41636,24,0
25,1,26895,25,0
26,1,35712,26,0
27,1,29981,27,0
28,1,60636,28,0
29,1,42451,29,1
30,1,42045,30,0
31,1,42453,31,1
32,1,28091,32,0
33,1,60369,33,0
34,1,60359,34,0
35,1,60478,35,1
36,1,63352,36,0
37,1,29941,37,0
38,1,63382,38,0
39,1,30045,39,1
40,1,63451,40,1
41,1,30081,41,0
42,2,45244,1,1
43,2,63508,2,0
44,2,44933,3,1
45,2,29951,4,1
46,2,29941,5,1
47,2,45360,6,1
48,2,48204,7,1
49,2,48210,8,1
50,2,48206,9,1
51,2,60976,10,1
52,2,63829,11,1
53,2,54988,12,0
54,2,54948,13,1
55,2,54950,14,1
56,2,47909,15,1
57,2,54073,16,1
58,2,54075,17,0
59,2,61007,18,1
60,2,62633,19,1
61,2,47003,20,1
62,2,62635,21,1
63,2,47007,22,1
64,2,33683,23,0
65,2,33681,24,1
66,2,26893,25,1
67,2,26897,26,0
68,2,26895,27,1
69,2,33896,28,1
70,2,33898,29,1
71,2,33894,30,0
72,2,33890,31,0
73,2,30289,32,0
74,2,42467,33,0
75,2,41642,34,1
76,2,30470,35,1
77,2,58478,36,0
78,2,41424,37,1
79,2,42045,38,0
80,2,23383,39,0
81,2,32018,40,2
82,2,27807,41,0
83,3,43754,1,0
84,3,44935,2,0
85,3,45437,3,1
86,3,29939,4,1
87,3,29951,5,1
88,3,44925,6,1
89,3,56334,7,0
90,3,54022,8,0
91,3,54024,9,0
92,3,61223,10,0
93,3,52829,11,0
94,3,52823,12,0
95,3,52817,13,0
96,3,52831,14,1
97,3,47005,15,0
98,3,62633,16,0
