SID,ItemID,Resp
1,29399,0
1,28019,1
1,46074,0
1,29401,0
1,54950,0
1,54942,0
1,63829,0
1,54944,0
1,61499,0
1,61503,0
1,54562,1
1,54566,0
1,53906,0
1,53908,0
1,56517,0
1,53912,0
1,37521,1
1,31147,0
1,32544,0
1,32540,1
1,35917,1
1,35915,0
1,33892,0
1,33890,0
1,29981,1
1,30706,0
1,41642,1
1,42045,0
1,33475,0
1,33443,1
1,42449,0
1,23387,0
1,33449,0
1,60359,0
1,63329,0
1,63340,1
1,63459,0
1,45437,1
1,44923,1
1,45451,0
2,45244,1
2,63508,0
2,44933,1
2,29951,1
2,29941,1
2,45360,1
2,52584,1
2,47909,1
2,52582,0
2,54922,1
2,63841,1
2,61204,1
2,55060,1
2,51948,1
2,51850,1
2,51574,1
2,51844,1
2,35871,0
2,59221,1
2,56195,1
2,28107,1
2,61094,0
2,35923,0
2,35919,0
2,35921,0
2,26885,1
2,26883,1
2,26311,0
2,26315,1
2,26313,0
2,34044,1
2,30708,1
2,33441,1
2,29981,1
2,30710,1
2,42477,0
2,42045,0
2,28089,0
2,42461,1
2,30578,0
2,29999,1
3,43754,0
3,44935,0
3,45437,1
3,29939,1
3,29951,1
3,44925,1
3,61007,0
3,54073,0
3,54065,0
3,54069,0
3,56285,0
3,53980,0
3,53988,0
3,53982,0
3,52518,0
3,62613,0
3,52516,0
3,52512,0
3,46465,1
3,56279,0
3,46463,0
3,61024,0
3,33683,1
3,33681,0
3,35917,1
3,35915,0
3,33892,0
3,33890,0
3,26883,0
3,26885,0
3,30730,0
3,35712,1
3,42045,0
3,30005,0
3,22789,0
3,58458,0
3,42449,1
3,60361,1
3,33443,0
3,26407,0
4,41648,0
4,42461,1
4,27783,1
4,30730,0
4,42045,0
4,32048,1
4,30001,0
4,26821,1
4,42463,0
4,30722,1
4,29811,1
4,63504,0
4,29951,0
4,50486,0
4,63444,0
4,49998,0
4,63827,1
4,54950,0
4,54948,1
4,54946,0
4,53988,0
4,56285,1
4,53980,0
4,53984,0
4,56195,0
4,28107,1
4,35871,0
4,59221,0
4,56305,1
4,54024,0
4,61537,1
4,61541,1
4,37415,0
4,37417,1
4,37419,1
4,37925,1
4,32570,1
4,33890,0
4,33892,0
4,35933,1
4,35935,1
5,50002,0
5,50573,0
5,44933,0
5,45475,0
5,30081,0
5,46042,0
5,52823,0
5,52821,0
5,52831,0
5,52817,0
5,61148,0
5,53896,0
5,56400,0
5,53898,0
5,52676,0
5,52670,0
5,52668,0
5,61533,0
5,51707,0
5,51919,0
5,54908,0
5,51705,0
5,37587,0
5,37591,1
5,37079,0
5,37699,0
5,32570,0
5,37925,0
5,35941,0
5,35945,0
5,23387,0
5,30706,0
5,33391,0
5,42459,0
5,29993,0
5,26815,0
5,33475,0
5,41652,0
5,60405,0
5,33449,0
6,26885,1
6,26883,1
6,26897,1
6,26893,1
6,26895,1
6,42527,1
6,35885,1
6,37559,0
6,37417,1
6,63506,1
6,63459,1
6,45453,0
6,45475,1
6,44310,0
6,45455,0
6,28091,0
6,60636,1
6,33413,1
6,29993,1
6,27723,0
6,33391,0
6,42045,1
6,42465,1
6,26395,0
6,33479,0
6,48204,1
6,48210,1
6,48200,1
6,60976,1
6,54010,0
6,54584,0
6,54014,1
6,54012,1
6,48144,1
6,54916,1
6,63796,1
6,63799,1
6,54428,0
6,54422,1
6,54430,1
6,54424,1
7,31978,0
7,33377,0
7,33375,0
7,32540,1
7,32544,0
7,24990,0
7,22758,0
7,33902,1
7,33906,1
7,41642,0
7,26819,0
7,32066,0
7,42461,1
7,42045,1
7,30708,0
7,28089,0
7,33393,1
7,27783,0
7,33401,1
7,54528,1
7,54526,0
7,54522,1
7,63764,0
7,53872,1
7,53864,0
7,53862,1
7,53870,1
7,51574,1
7,51854,1
7,51948,0
7,51844,0
7,61024,1
7,46463,1
7,46465,1
7,56279,1
7,44935,1
7,30081,0
7,43756,0
7,46403,1
7,58101,1
7,44927,0
8,46303,1
8,49998,0
8,29955,0
8,45459,0
8,63449,0
8,63321,0
8,54528,0
8,54522,1
8,63762,0
8,54526,0
8,53174,0
8,60553,1
8,53178,0
8,53180,0
8,46463,0
8,61024,0
8,46465,0
8,56279,0
8,52510,1
8,52522,0
8,52516,0
8,52512,0
8,29989,1
8,22760,0
8,30708,0
8,60547,0
8,26819,0
8,42461,0
8,33479,0
8,42449,0
8,27805,0
8,30740,1
8,33892,0
8,33890,0
8,20519,0
8,20523,0
8,26897,0
8,26895,0
8,26893,0
8,32544,1
8,32540,0
9,52582,1
9,52584,0
9,47909,1
9,61024,1
9,56279,1
9,46465,1
9,46463,1
9,53812,0
9,53806,1
9,53808,1
9,53804,0
9,47003,1
9,47011,0
9,62633,1
9,47001,1
9,63796,0
9,26637,1
9,26639,0
9,22756,0
9,25070,0
9,22754,0
9,35921,1
9,35919,0
9,35923,1
9,32546,0
9,44937,0
9,30081,1
9,29951,1
9,63352,1
9,50000,0
9,63508,1
9,33385,0
9,33391,1
9,42045,0
9,29993,0
9,28089,0
9,58467,1
9,33401,1
9,42459,1
9,22855,1
9,60549,0
10,26895,0
10,26897,0
10,26893,0
10,35917,1
10,35915,0
10,37561,0
10,35891,1
10,31976,0
10,31974,0
10,50002,1
10,44933,1
10,63451,0
10,29955,0
10,44927,0
10,63453,1
10,60365,1
10,26817,1
10,42045,0
10,26819,1
10,22875,1
10,27805,1
10,26407,0
10,33413,0
10,30754,0
10,29167,1
10,53884,1
10,61152,0
10,53890,1
10,53882,0
10,48200,0
10,48204,1
10,48206,1
10,60976,0
10,52670,1
10,52672,0
10,52676,1
10,52668,1
10,52584,1
10,47909,1
10,54942,1
10,63829,0
11,61072,1
11,54089,0
11,54087,1
11,54085,1
11,53434,0
11,60553,0
11,53176,0
11,53174,1
11,51948,0
11,51846,0
11,51854,1
11,51852,0
11,63827,1
11,63825,1
11,54944,1
11,63829,0
11,27811,0
11,42045,0
11,33471,0
11,26819,1
11,58458,0
11,29983,1
11,60361,1
11,60363,0
11,41652,0
11,60405,0
11,30912,0
11,31213,0
11,34102,0
11,63279,0
11,35939,0
11,35919,0
11,35923,0
11,35921,0
11,44001,0
11,63501,0
11,43739,1
11,29955,0
11,63651,0
11,44933,0
11,63453,1
12,22756,0
12,22754,0
12,25070,0
12,37415,0
12,37419,0
12,37417,1
12,35941,0
12,35945,0
12,32536,1
12,60365,1
12,41642,1
12,41424,0
12,26815,1
12,42045,0
12,30750,1
12,23383,0
12,60417,0
12,30706,1
12,58467,0
12,63382,1
12,45244,0
12,46303,1
12,29811,1
12,44931,0
12,63321,1
12,62613,0
12,52512,1
12,52522,0
12,52516,1
12,54073,0
12,54065,0
12,61005,0
12,61007,0
12,60553,1
12,53176,1
12,53174,0
12,53178,1
12,56279,1
12,46471,1
12,46463,1
12,46465,0
13,26819,0
13,41642,1
13,33475,0
13,28091,0
13,42465,0
13,41993,1
13,42461,1
13,59161,0
13,60636,1
13,30734,1
13,54848,0
13,61227,0
13,54846,1
